theme_id	game_scope	theme_title	topic_codes	signal_mix	unique_source_groups	evidence_ids	recurrence	counterevidence_ids	contradiction_status	mapping_status	pw_requirement_ids	open_domain_ids	semantic_judgment	design_implication	owner_question	priority	confidence	caveat
T01	PowerPro	ペナント自体の面白さと長期運用の物語	R,T,S	PRAISE+OBSERVATION+REQUEST	4	E001;E002;E008;E024;E026;E036	MIXED_CONTESTED	E012;E015	肯定と不満が同じ長期セーブ内に併存	ALREADY_COVERED	PW-001;PW-002;PW-003;PW-187-PW-221	長期セーブを継続する理由は複雑さそのものではなく、結果と記録が物語になること	既存の深い内部シミュレーションを、短い操作で物語として返せるか	P0	HIGH	公式資料はプレイヤー sentiment ではなく、肯定側の補助証拠
T02	PowerPro	外国人の早期解雇と移籍の振れ幅	J,B,N,R	COMPLAINT+TRADEOFF	5	E004;E007;E011;E013;E018;E024;E025;E026;E027;E028	STRONG_RECURRENT	E024;E026	現実的な移籍と不自然な機械的放出の境界が争点	PARTIAL_EXTENSION	PW-095-PW-140;PW-236;PW-239-PW-242	「市場が動く」だけでは足りず、成績・契約・役割・本人意思・球団制約が同時に見える必要	放出や海外移動を、プレイヤーが後から理由を再構成できる形にするか	P0	HIGH	同一ランチ週の議論が多く、現行版固有の可能性がある
T03	PowerPro	CPUドラフトの投手偏重・ニーズ不一致	D,R,O	COMPLAINT+REQUEST	3	E019;E020;E021;E027;E028;E029;E030	MODERATE_RECURRENT	E008;E026	新人候補の面白さへの肯定と、CPUの選択ロジックへの不満が併存	PARTIAL_EXTENSION	PW-053-PW-075;PW-237;PW-260	候補の強さより、球団の不足・将来・評価不確実性を理由付きで示す方が重要	CPU指名を勝率最適化だけでなく、組織の認識と制約として表現するか	P0	HIGH	イベント大会由来のE029-E030は一般プレイヤーへの一般化を弱める
T04	PowerPro	CPU資金不足がドラフト・補強参加を止める	D,N,R	COMPLAINT+TRADEOFF	3	E010;E013;E022	MODERATE_RECURRENT	E024	資金制約を楽しむ声と、CPUだけ参加不能になる不具合疑いが分離されていない	PARTIAL_EXTENSION	PW-141-PW-159;PW-247-PW-249;PW-256	資金難は差を作るが、参加機会を失わせるなら経済ではなく機能停止になる	資金制約の結果と、CPUが参加しない理由を説明可能にできるか	P0	MEDIUM	意図された財政難か不具合かは未解決
T05	PowerPro	情報確認と完全委任のUI負荷	P,Q,O	COMPLAINT+REQUEST	4	E003;E005;E023;E029;E033	MODERATE_RECURRENT	E069;E070	手動派と自動派の優劣ではなく、重要局面だけ見たいという共通需要	PARTIAL_EXTENSION	PW-001;PW-004;PW-006;PW-010-PW-014	情報を隠すのではなく、必要な時に一画面で理由と差分を出す	ユーザーが「任せる／確認する」を局面ごとに選べるか	P0	HIGH	E029は候補一覧の閲覧時間、E033は個人の操作方針
T06	PowerPro	現役ドラフト・新人候補の発見は肯定される	D,L,R,T	PRAISE+OBSERVATION	3	E001;E008;E024;E026	MODERATE_RECURRENT	E019-E021;E029	候補の面白さはあるが、閲覧・指名の負荷が価値を削る	ALREADY_COVERED	PW-053-PW-075;PW-238;PW-260	発見の偶然性は残しつつ、候補の幅と球団ニーズの接続を強めるべき	新人を「引く」だけでなく、何を見落としたかを後から学べるか	P1	MEDIUM	褒める声は長文サンプルが少ない
T07	PowerPro	長期成績・観戦シミュレーションの現実感が割れる	A,H,I,P,R	COMPLAINT+OBSERVATION+TRADEOFF	4	E011;E012;E032;E034;E035	MIXED_CONTESTED	E008;E024	同じ版でも四球・打低・配球・成績表示への評価が揃わない	PARTIAL_EXTENSION	PW-004;PW-036-PW-047;PW-222-PW-229;PW-245	体感、実操作、観戦、完全自動の結果を同じ指標で混ぜないことが必要	モードと条件を示した上で、成績がなぜそうなったかを検証できるか	P0	MEDIUM	統計の再計算・再生ログは収集範囲外
T08	PowerPro	現行版の不具合が長期セーブの信頼を損なう	P,R	COMPLAINT	3	E009;E015;E022;E035	VERSION_SPECIFIC	E001;E002	設計思想の不備と製品版の不具合報告が混在しやすい	LOW_VALUE	PW-204-PW-212;PW-222-PW-235	この波では仕様候補にせず、再現性のある不具合監視項目として扱う	研究成果から実装要求へ昇格させる前に、版・再現手順・修正状態を確認するか	P1	HIGH	ユーザー sentiment の対象だが、設計判断の根拠には弱い
T09	PowerPro	特殊能力・OBコーチの長期ライフサイクル	E,G,O,R	COMPLAINT+REQUEST	3	E014;E016;E028	MODERATE_RECURRENT	E036	長期変化の要望はあるが、現在のPW設計で明示的なライフサイクル境界は未確定	NEW_CANDIDATE	PW-015-PW-035;PW-076-PW-087	特殊能力の付与・消失、OBのコーチ化・高齢化を、成長・記録・人材市場の一部として検討する余地	特殊能力とスタッフ経歴の「残る／消える／引き継ぐ」をどう説明するか	P1	MEDIUM	投稿数が少なく、具体仕様への直接変換は禁止
T10	PowerPro	トレードが少ないことへの不満	B,R	COMPLAINT+REQUEST	3	E006;E031;E047	MODERATE_RECURRENT	E024;E049	市場の活発さを求める声と、トレードを物語として楽しむ声が別に存在	PARTIAL_EXTENSION	PW-124-PW-140;PW-236;PW-237	件数を増やすのではなく、必要・余剰・契約・本人意思から提案が発生する市場が必要	「少ない」を件数でなく、必要な時に理由ある提案が出るかで評価するか	P0	MEDIUM	E047はProspi個別要望で、横断テーマでは補助に留める
